
"[run number]","flock-behavior","movement-decrease","[step]","count turtles with [friends-score = 0]","count turtles with [lonely? = true]","mean [link-weight] of turtles","mean [friends-score] of turtles","standard-deviation [link-weight] of turtles","standard-deviation [friends-score] of turtles"
"209","true","true","2000","0","14","149.7953686475146","3.008","84.40890617942777","0.9939253242577145"
"210","true","true","2000","3","15","147.82807138619506","3.28","82.39870158150845","1.2585450897651154"
"211","true","true","2000","3","15","160.63815037974186","3.128","97.12559575018233","1.1475554601571738"
"213","true","true","2000","3","10","152.57416767388605","3.24","81.13051418610368","1.1505193519087211"
"214","true","true","2000","3","11","148.2317334392971","3.136","84.38602962956983","1.0554429588364445"
"215","true","true","2000","3","23","149.72313361852227","3.136","92.04638889936754","1.2080320217038323"
"212","true","true","2000","1","10","163.8350611900775","3.144","89.91361668376057","1.1664933893122738"
"216","true","true","2000","0","16","156.86312616633026","3.144","89.01949749020525","1.1456500583620197"
"217","true","true","2000","0","14","159.1740802440713","3.128","85.06164253983168","1.0488165064762391"
"218","true","true","2000","2","12","150.70283283222994","3.232","90.86865766341374","1.2394842819255785"
"220","true","true","2000","2","23","152.3312487657208","3.024","89.10126495954258","1.0789255401950313"
"221","true","true","2000","0","16","159.5122371544821","3.152","87.36134738724714","1.105342993161"
"222","true","true","2000","2","16","155.9378515897538","3.216","82.77085239350083","1.2029682165878215"
"219","true","true","2000","0","11","159.19332534852254","3.272","84.46692110701709","1.167677129825737"
"223","true","true","2000","4","11","158.69695357186748","3.088","93.70942034480552","1.1513288986782744"
"224","true","true","2000","1","8","149.98235060410542","3.12","84.58962525878029","1.1794764341158064"
"225","true","true","2000","1","13","153.8498557886117","3.32","83.24013136376864","1.1092890012766785"
"227","true","true","2000","0","12","148.4426974870807","3.176","84.9370718752875","1.0065169175035693"
"228","true","true","2000","0","14","147.08062168231857","3.264","83.33987540170904","1.0501023090336252"
"229","true","true","2000","1","21","157.5340916391075","3.112","94.78210795293806","1.1028695685077912"
"230","true","true","2000","2","23","160.67261450293063","3.032","94.23656086910944","1.1749459527858583"
"232","true","true","2000","1","17","156.27021324363426","3.168","89.2577704175026","1.0197723976318875"
"231","true","true","2000","3","15","152.44040477282363","3.144","94.99185556150329","1.138617494682383"
"226","true","true","2000","0","16","152.49956136565422","3.032","90.81536986068261","1.1437695726593544"
"233","true","true","2000","2","17","149.9058830422893","3.048","82.47641184643564","1.1255056873285159"
"234","true","true","2000","1","10","161.81074966084245","3.016","93.07759463617886","1.1615251018591872"
"235","true","true","2000","0","16","147.4269501763446","3.216","86.28827293927995","1.076092888004776"
"237","true","true","2000","2","20","155.93200453033845","3.2","97.68198657570538","1.1049359864428998"
"238","true","true","2000","0","10","157.09688031759902","3.264","84.86094587994037","1.0728036309232407"
"239","true","true","2000","1","19","158.9125765548673","3.112","95.42417363280062","1.1562020640231552"
